Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/leaderboards/getPayoutTime (POST),1.0 [0.5]*,48.73360894317767,12.7,3.23,8.61,24.7,621,00.0,00.0
/recipe/campaign/v2/startStage (POST),1.0 [0.5]*,12.093421052631578,51.0,4.41,43.1,61.2,617,00.0,00.0
/store/battlelog/listDefenseLogs (POST),1.0 [0.5]*,33.43918918918919,18.4,3.56,13.8,31.2,615,00.0,00.0
/NettyDispatcher,0.98 [0.5],269.90438046617305,2.24,16.2,0.283,263,605,00.0,00.5
/playermodel/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,34.9906971845819,17.2,9.34,12.3,68.3,603,00.0,00.0
/model/model/listModels (POST),0.0 [0.5]*,1.0,603,0,603,603,603,00.0,00.1
/battlelog/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,37.74468085106383,15.5,1.86,12.0,20.1,586,00.0,00.0
/playermodel/leaderboards/claimPromotionRewards (POST),1.0 [0.5]*,4.0,146,43.1,82.0,171,586,00.0,00.0
/battlelog/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,27.987320176925113,20.7,13.3,13.8,73.4,578,00.0,00.0
/playermodel/recipe/processUnlockCharacterRecipe (POST),1.0 [0.5]*,7.999482025281151,72.1,14.8,55.5,105,577,00.0,00.0
/recipe/playerraid/end (POST),1.0 [0.5]*,3.0,192,34.4,157,226,576,00.0,00.0
/store/playerraid/startRaid (POST),1.0 [0.5]*,16.0,35.9,12.9,28.4,83.3,575,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/claimPromotionRewards (POST),1.0 [0.5]*,3.0,189,35.6,168,230,567,00.0,00.0
/reward/periodic/campaign/v2/listCoreCampaigns (POST),1.0 [0.5]*,2.0,279,234,113,444,558,00.0,00.0
/{a:crate|crate\/v1}/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,11.0,50.2,41.3,20.5,127,552,00.0,00.0
/battlelog/recipe/processUnlockCharacterRecipe (POST),1.0 [0.5]*,8.0,68.7,7.95,60.0,80.9,549,00.0,00.0
/tutorial/recipe/processUnlockCharacterRecipe (POST),1.0 [0.5]*,7.0,77.5,12.1,55.7,91.9,543,00.0,00.0
/recipe/campaign/v2/finishStage (POST),1.0 [0.5]*,2.7160714285714285,195,34.8,168,233,530,00.0,00.0
/recipe/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,9.436170212765958,56.0,47.9,20.2,175,528,00.0,00.0
/{a:crate|crate\/v1}/goal/v1/claimAchievement (POST),1.0 [0.5]*,4.0,132,5.82,124,136,528,00.0,00.0
/battlelog/socialintegrationv2/bind (POST),0.5 [0.5]*,2.0,261,237,93.7,429,523,00.0,00.1
